"International_data"
"https://www.eia.gov/beta/international/data/browser/?iso=USA#/?pa=000000000000000000000000000000000000000000000000000000001&c=4100000002000060000000000000g000200000000000000001&tl_id=4702-A&vs=INTL.4702-33-AFRC-THP.A&cy=2015&vo=0&v=H&end=2017"
"Wed Jun 13 2018 12:39:41 GMT-0400 (EDT)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"","Population","1000 Person"
"","Population",""
"","Africa","1000 Person",471727.7,486003.073,500303.035,514613.06,528920.376,543211.113,559359.912,575492.192,591698.5188,607858.1264,625477.763,643178.8268,660928.3086,678687.6584,699513.5242,717179.6,735903.5706,754587.3512,773239.1268,791867.7644,810479.4,831642.3466,852782.2012,873901.1258,895007.1504,916100.847,940634.2132,965139.2724,989645.2606,1014181.5698,1038779.806,1067342.0304,1095957.2978,1124596.8632,1153230.7716,1181834.869,1213164.359,1244484.108
"","Asia & Oceania","1000 Person",2475449.525,2523307.3342,2571542.0974,2620262.7526,2669940.6708,2720992.365,2775255.187,2831417.493,2888106.308,2943604.473,2996711.852,3048031.2518,3097744.5476,3146146.5424,3193615.8182,3240350.394,3285362.397,3329256.813,3372394.921,3415031.332,3457622.824,3499794.2544,3541488.5688,3583721.3202,3624835.3044,3665815.352,3705807.2058,3745713.2826,3785435.5674,3824659.15,3863265.969,3902653.268,3941861.76,3980529.356,4018465.269,4055587.732,4091751.91,4127068.133
"","Central & South America","1000 Person",295072.62,301546.4671,308104.0343,314700.159,321287.263,327827.982,334499.421,341090.981,347786.144,354325.031,360829.339,367328.232,373785.695,380215.992,386631.198,393048.18,399338.7056,405632.9002,411902.8678,418121.4904,424265.744,430191.9062,436065.3484,441878.0456,447619.3658,453284.026,458810.2514,464245.7908,469618.7272,474945.4406,480267.806,485580.3942,490871.1234,496121.2076,501313.0778,506433.625,511366.297,516240.8909
"","Eurasia","1000 Person",-,-,-,-,-,-,-,-,-,-,-,-,287860.44,288304.24,288653.03,288913.51,288565.28,288092.71,286888.7,286304.29,285592.14,285209.67,284673.18,284122.87,284033.78,285129.46,285231.7,285550.41,286049.2,286476.86,287088.83,288034.42,289081.84,290382.21,291423.51,290097.69,290997.72,291770.12
"","Europe","1000 Person",367982.738,370283.247,372373.978,374323.079,376311.031,378253.474,380170.475,382094.951,384065.879,423953.288,426036.875,516311.853,533123.878,551183.603,553382.376,555223.93,557122.873,559039.858,560874.049,562578.759,564576.706,566502.496,568953.872,571924.943,575014.618,586528.929,589403.907,592346.879,595323.78,597758.6,600115.473,602482.587,604864.685,607774.631,610737.657,613824.749,616923.454,619588.06
"","Middle East","1000 Person",91970.31,95915.845,99860.059,103799.964,107732.118,111655.373,115706.936,119752.27,123805.433,127885.481,132005.83,135417.609,138871.208,142362.997,145886.285,149435.564,153073.789,159625.333,163475.065,167332.693,171018.79,175044.059,179070.409,183111.754,187158.908,191214.637,196456.625,201708.64,206974.38,212313.47,217712.26,222314.73,227049.65,231871.76,236727.63,241470.14,245721.67,249958.22
"","North America","1000 Person",321311.089,325494.4112,329593.4534,333562.4856,337422.5178,341350.06,345400.5928,349465.2156,353674.9244,358068.4792,362943.114,368373.2286,374010.5832,379518.7778,384777.6624,389907.877,394940.3462,400058.8354,405050.1746,409971.3138,414822.803,419318.2786,423600.4742,427661.0998,432009.4254,436518.051,441362.0336,446302.1662,451343.9588,456231.4914,460954.194,465344.1012,469821.8884,474184.9456,478657.4528,483059.83,487469.3362,492761.4424
"","World","1000 Person",4023513.982,4102550.3775,4181776.6571,4261261.5002,4341613.9766,4423290.367,4510392.5238,4599313.1026,4689137.2072,4815694.8786,4904004.773,5078641.0012,5466324.6604,5566419.8106,5652459.8938,5734059.055,5814306.9614,5896293.8008,5973824.9042,6051207.6426,6128378.407,6207703.0108,6286634.0536,6366321.1584,6445678.552,6534591.302,6617705.936,6701006.441,6784390.874,6866566.5818,6948184.338,7033751.5308,7119508.2446,7205460.9734,7290555.3682,7372308.635,7457394.7462,7541870.9743 
